Project,Package,Module,Class,Smell,Method,Line no,File,Description
flask_app,flask_app,shop,,Long statement,get_shop_items,574,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 198 chars in get_shop_items exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_items,587,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 229 chars in get_shop_items exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_items,600,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 207 chars in get_shop_items exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_items,607,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 257 chars in get_shop_items exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_item_by_id,639,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 135 chars in get_item_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_item_by_id,655,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 209 chars in get_item_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_item_by_id,670,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 161 chars in get_item_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_item_by_id,679,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 157 chars in get_item_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_item_by_id,690,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 194 chars in get_item_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_item_categories,722,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 452 chars in get_shop_item_categories exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,list_shop_items,848,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 152 chars in list_shop_items exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,,1,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 128 chars in shop exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Magic number,get_shops,129,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Magic number 5 used in get_shops.
flask_app,flask_app,shop,,Magic number,get_shops,130,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Magic number 5 used in get_shops.
flask_app,flask_app,shop,,Magic number,get_shop_by_id,231,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Magic number 24 used in get_shop_by_id.
flask_app,flask_app,shop,,Magic number,get_shop_by_id,232,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Magic number 60 used in get_shop_by_id.
flask_app,flask_app,shop,,Magic number,get_shop_by_id,233,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Magic number 60 used in get_shop_by_id.
flask_app,flask_app,shop,,Magic number,get_shop_by_id,243,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Magic number 24 used in get_shop_by_id.
